ID,Prioridad,Requisito,Estado ISPwash,Evidencia o archivo,Restricciones o brecha,Responsable ISPwash,Fecha compromiso,Observaciones
E1,P0,OpenAPI oficial JSON UTF-8 3.0.x o 3.1.x,PENDIENTE,,,,,
E2,P0,Versión fecha de vigencia y política de cambios,PENDIENTE,,,,,
E3,P0,Diccionario de datos completo,PENDIENTE,,,,,
E4,P0,Exposición API de campos personalizados del ticket,PENDIENTE,,,,,
E5,P0,Identificador estable de tenant u organización,PENDIENTE,,,,,
E6,P0,Identificador estable de cliente o abonado,PENDIENTE,,,,,
E7,P0,Identificador estable de servicio o punto instalado,PENDIENTE,,,,,
E8,P0,Identificador estable e inmutable de ticket,PENDIENTE,,,,,
E9,P0,Identificador estable de router lógico servidor o NAS,PENDIENTE,,,,,
E10,P0,Relación cliente servicio contrato plan y router lógico,PENDIENTE,,,,,
E11,P0,Consulta de clientes y servicios por API,PENDIENTE,,,,,
E12,P0,Consulta de tickets y detalle por API,PENDIENTE,,,,,
E13,P0,Listado paginado y consulta incremental de tickets,PENDIENTE,,,,,
E14,P0,Historial completo y auditoría del ticket,PENDIENTE,,,,,
E15,P0,Catálogos versionados de estados prioridades SLA síntomas causas soluciones y resultados,PENDIENTE,,,,,
E16,P0,Autenticación máquina a máquina y scopes,PENDIENTE,,,,,
E17,P0,Sandbox o tenant de pruebas,PENDIENTE,,,,,
E18,P0,Estructura de errores y códigos HTTP,PENDIENTE,,,,,
E19,P0,Rate limits timeouts y política de reintentos,PENDIENTE,,,,,
E20,P0,Versionamiento o control de concurrencia del recurso,PENDIENTE,,,,,
E21,P0,Idempotencia para futuras operaciones de escritura,PENDIENTE,,,,,
E22,P1,Comentarios e intervenciones por API,PENDIENTE,,,,,
E23,P1,Adjuntos y evidencias por API,PENDIENTE,,,,,
E24,P1,Webhooks firmados o alternativa oficial de polling,PENDIENTE,,,,,
E25,P1,Incidente padre y tickets relacionados,PENDIENTE,,,,,
E26,P1,Reapertura y transiciones de estado documentadas,PENDIENTE,,,,,
E27,P1,Ejemplos sanitizados de éxito y error,PENDIENTE,,,,,
E28,P1,Proceso de rotación y revocación de credenciales,PENDIENTE,,,,,
E29,P1,Separación de credenciales sandbox y producción,PENDIENTE,,,,,
E30,P1,Contacto técnico y soporte de integración,PENDIENTE,,,,,
E31,P1,Plan licencia costo y capacidades sujetas a desarrollo,PENDIENTE,,,,,
E32,P2,Hash SHA-256 del contrato entregado,PENDIENTE,,,,,
E33,P2,Mecanismo de replay o reenvío de eventos,PENDIENTE,,,,,
E34,P2,Referencia segura externa para evidencia técnica,PENDIENTE,,,,,
